index,title,platform,creator_name,creator_url,source_url,embed_url,thumbnail_url,github_url,categories,source_type,embed_status,publication_status,weight,collected_from,collected_category,collected_at,description,open_url,status,registered_project_id
31,Amaka Sales Report Gallery Example,Looker Studio,Amaka,https://amaka.com/,https://datastudio.google.com/reporting/b7373b36-80af-4932-ab8f-276a1d1a3c1b/page/XABVB,,https://datastudio.google.com/reporting/b7373b36-80af-4932-ab8f-276a1d1a3c1b/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,690000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:21:50,"Amaka Sales Report Gallery Example shows net revenue growth, gross revenue growth, tax report and popularity of the products based on the customer's source data.",https://datastudio.google.com/open/b7373b36-80af-4932-ab8f-276a1d1a3c1b,skipped_embed_access_disabled,
35,Search Discovery Demo Checkout Funnel,Looker Studio,Search Discovery,https://www.searchdiscovery.com/,https://datastudio.google.com/reporting/1Oh55yjBMEsYY8wDeQxRz7cpsFQZf8Rzb/page/3NgSB,,https://datastudio.google.com/reporting/1Oh55yjBMEsYY8wDeQxRz7cpsFQZf8Rzb/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,650000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:22:39,This report is a step by step template on how to create a shopping stage funnel visualization.,https://datastudio.google.com/open/1Oh55yjBMEsYY8wDeQxRz7cpsFQZf8Rzb,skipped_embed_access_disabled,
36,📌 Your average User's Journey,Looker Studio,Search Foresight,https://www.linkedin.com/company/search-foresight/,https://datastudio.google.com/reporting/65f24b94-33b1-4c43-8316-9fe6157baf41/page/QzYj,,https://datastudio.google.com/reporting/65f24b94-33b1-4c43-8316-9fe6157baf41/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,640000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:22:51,Analyze the user's journey of your website from queries to checkout,https://datastudio.google.com/open/65f24b94-33b1-4c43-8316-9fe6157baf41,skipped_embed_system_error,
38,All-in-one Quarterly Revenue Template,Looker Studio,My Digital Lab,https://www.mydigitalab.com/?utm_source=gds_library&utm_medium=template&utm_campaign=gds_demo_v4,https://datastudio.google.com/reporting/68a76d1c-9698-4860-9f3a-c2595cbfe788/page/3rT0B,,https://datastudio.google.com/reporting/68a76d1c-9698-4860-9f3a-c2595cbfe788/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,620000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:23:15,Gain a holistic view of your quarterly revenue performance.,https://datastudio.google.com/open/68a76d1c-9698-4860-9f3a-c2595cbfe788,skipped_embed_system_error,
39,Display and Video 360 Inventory Report,Looker Studio,Lachezar Arabadzhiev,https://datastudio.ca/about-lachezar-arabadzhiev/,https://datastudio.google.com/reporting/af0147ee-d887-4fd5-991d-66f0877fd808/page/LleOB,,https://datastudio.google.com/reporting/af0147ee-d887-4fd5-991d-66f0877fd808/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,610000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:23:28,An overview report for Display and Video 360 which monitors inventory spend and media performance.,https://datastudio.google.com/open/af0147ee-d887-4fd5-991d-66f0877fd808,skipped_embed_access_disabled,
40,📌 Mobile Friendly Scoreboard,Looker Studio,Search Foresight,https://www.linkedin.com/company/search-foresight/,https://datastudio.google.com/reporting/796ffb4f-3fe5-4f21-87bd-3dac6fdd1cfc/page/QzYj,,https://datastudio.google.com/reporting/796ffb4f-3fe5-4f21-87bd-3dac6fdd1cfc/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,600000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:23:40,A lightweight mobile friendly scoreboard for everyday check,https://datastudio.google.com/open/796ffb4f-3fe5-4f21-87bd-3dac6fdd1cfc,skipped_embed_system_error,
41,Digital Analytics for eCommerce,Looker Studio,Kjetil Grøsland,http://www.kjetilgrosland.com/,https://datastudio.google.com/reporting/6b94e111-7a3e-4ee5-935f-b3db84b95f45/page/NaN1,,https://datastudio.google.com/reporting/6b94e111-7a3e-4ee5-935f-b3db84b95f45/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,590000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:23:52,"Beautiful rich dashboard built for deep analysis through interactivity, with the starting point of a 12 month (rolling) overview of most important eCommerce metrics.",https://datastudio.google.com/open/6b94e111-7a3e-4ee5-935f-b3db84b95f45,skipped_embed_access_disabled,
43,CatchOn Report Template,Looker Studio,CatchOn Inc.,https://www.catchon.com/,,,https://datastudio.google.com/reporting/1BPx2T6LEoBHSPJNuJOJF-sgL4LD36_b2/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,570000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:24:16,Use this template for a quick weekly view of your app usage for your district and campuses.,https://datastudio.google.com/open/1BPx2T6LEoBHSPJNuJOJF-sgL4LD36_b2,skipped_missing_report,
44,Google Analytics: Goals Report,Looker Studio,DataSasi,https://datasasi.com/,https://datastudio.google.com/reporting/cbb62770-7e7a-487d-be15-9c76b069fe17/page/xrO6,,https://datastudio.google.com/reporting/cbb62770-7e7a-487d-be15-9c76b069fe17/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,560000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:24:21,Goals Dashboard from Google Analytics,https://datastudio.google.com/open/cbb62770-7e7a-487d-be15-9c76b069fe17,skipped_embed_system_error,
46,Google Analytics Report,Looker Studio,Jonathan Jones,https://www.mrjonathanjones.com/2019/12/17/google-analytics-data-studio-template-report/,https://datastudio.google.com/reporting/9948e225-6617-4e69-9b07-07e5e708fb03/page/L1Q,,https://datastudio.google.com/reporting/9948e225-6617-4e69-9b07-07e5e708fb03/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,540000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:24:47,This report uses the Google Analytics native connector to give people an easy report on viewing performance for their website.,https://datastudio.google.com/open/9948e225-6617-4e69-9b07-07e5e708fb03,skipped_embed_access_disabled,
49,Paid Channel Mix Overview Template by Supermetrics,Looker Studio,Supermetrics,https://supermetrics.com/,https://datastudio.google.com/reporting/0BzjchXrR5ZQcemRjN1BoQWN3MWs/page/PcXTB,,https://datastudio.google.com/reporting/0BzjchXrR5ZQcemRjN1BoQWN3MWs/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,510000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:25:25,"See how your paid campaigns perform across Google Ads, Bing Ads, Facebook Ads, Twitter Ads and LinkedIn Ads",https://datastudio.google.com/open/0BzjchXrR5ZQcemRjN1BoQWN3MWs,skipped_embed_access_disabled,
51,The 10 Most Frequent Words in 'Info We Trust',Looker Studio,Marc Soares,http://www.marcsoares.ca/,https://datastudio.google.com/reporting/1uh6jod8tDwVdqMwVxO18HTuAayPEFfzj/page/GQCn,,https://datastudio.google.com/reporting/1uh6jod8tDwVdqMwVxO18HTuAayPEFfzj/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,490000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:25:55,Visualizing the most frequent words used in the book 'Info We Trust' by R.J. Andrews.,https://datastudio.google.com/open/1uh6jod8tDwVdqMwVxO18HTuAayPEFfzj,skipped_embed_access_disabled,
52,The Toronto Raptors' Road to the Championship,Looker Studio,Marc Soares,http://www.marcsoares.ca/,https://datastudio.google.com/reporting/1FKGqrQjKk3KC5NEGJiDM1LXIPNcZExuM/page/SPrq,,https://datastudio.google.com/reporting/1FKGqrQjKk3KC5NEGJiDM1LXIPNcZExuM/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,480000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:26:07,Visualizing the Toronto Raptors playoff run to the 2019 NBA Championship.,https://datastudio.google.com/open/1FKGqrQjKk3KC5NEGJiDM1LXIPNcZExuM,skipped_embed_access_disabled,
57,Where is the International Space Station?,Looker Studio,ClickInsight,http://www.clickinsight.ca/,,,https://datastudio.google.com/reporting/1rOv10SKYQ4bjqPjY8cACLvr0kBlPUaCT/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,430000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:27:28,Viewing the real-time position of the International Space Station.,https://datastudio.google.com/open/1rOv10SKYQ4bjqPjY8cACLvr0kBlPUaCT,skipped_missing_report,
58,"Star Wars API: Data from a galaxy far, far away",Looker Studio,ClickInsight,http://www.clickinsight.ca/,,,https://datastudio.google.com/reporting/1QXy-dp4EHsVDljoAeb7BE3PxW9MOPSLw/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,420000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:27:34,"Visualizing the planets, starships, and characters of the Star Wars universe.",https://datastudio.google.com/open/1QXy-dp4EHsVDljoAeb7BE3PxW9MOPSLw,skipped_missing_report,
59,Google Analytics Starter Audit,Looker Studio,ClickInsight,http://www.clickinsight.ca/,,,https://datastudio.google.com/reporting/1a65V9spG0V_MDzQbZjKmkjaAvnE_Yw_n/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,410000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:27:40,Use this report to audit your Google Analytics data for common issues.,https://datastudio.google.com/open/1a65V9spG0V_MDzQbZjKmkjaAvnE_Yw_n,skipped_missing_report,
60,Google Analytics Starter Dashboard Template,Looker Studio,ClickInsight,http://www.clickinsight.ca/,,,https://datastudio.google.com/reporting/1f760j65YO9YMs5y-DAmu-1XCU_bZyD85/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,400000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:27:45,A dashboard template for viewing Google Analytics data.,https://datastudio.google.com/open/1f760j65YO9YMs5y-DAmu-1XCU_bZyD85,skipped_missing_report,
61,Rio 2016 Summer Olympics,Looker Studio,ClickInsight,http://www.clickinsight.ca/,,,https://datastudio.google.com/reporting/0ByFLn8uIUCsJVVVaUTRWbk5HWmM/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,390000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:27:51,Medal results from the 2016 Summer Olympics broken down by sport and country.,https://datastudio.google.com/open/0ByFLn8uIUCsJVVVaUTRWbk5HWmM,skipped_missing_report,
63,Steph Curry's Popcorn Rankings,Looker Studio,ClickInsight,http://www.clickinsight.ca/,,,https://datastudio.google.com/reporting/233fa9b2-891f-455e-955d-8703cfa6c736/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,370000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:28:11,Using radar charts to visualize Steph Curry's ratings of popcorn at every NBA arena.,https://datastudio.google.com/open/233fa9b2-891f-455e-955d-8703cfa6c736,skipped_missing_report,
64,My Email Habits,Looker Studio,Email Meter,https://emailmeter.com/,https://datastudio.google.com/reporting/1-b3ckzPZwOHlw2Gd0zZmjOfCy73d6fKL/page/K7J3,,https://datastudio.google.com/reporting/1-b3ckzPZwOHlw2Gd0zZmjOfCy73d6fKL/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,360000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:28:16,"An infographic about using Gmail data to get insights on productivity, trends, workload and self email management.",https://datastudio.google.com/open/1-b3ckzPZwOHlw2Gd0zZmjOfCy73d6fKL,skipped_embed_system_error,
66,Google Analytics Demographics,Looker Studio,Christian Bonner,https://www.linkedin.com/in/bonnermx/,https://datastudio.google.com/reporting/1g6vuDMbkgPBRBskPEgaKxxG2seDym_JZ/page/CSJ0,,https://datastudio.google.com/reporting/1g6vuDMbkgPBRBskPEgaKxxG2seDym_JZ/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,340000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:28:42,Website visitor demographics,https://datastudio.google.com/open/1g6vuDMbkgPBRBskPEgaKxxG2seDym_JZ,skipped_embed_access_disabled,
67,Google Analytics Month-Over-Month Reporting,Looker Studio,Mike Goracke,https://mikegoracke.com/,https://datastudio.google.com/reporting/0Bx4C5aFm3RdKQ0hrekVncUJmYTQ/page/4YfH,,https://datastudio.google.com/reporting/0Bx4C5aFm3RdKQ0hrekVncUJmYTQ/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,330000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:28:54,Easily review your website performance month-over-month,https://datastudio.google.com/open/0Bx4C5aFm3RdKQ0hrekVncUJmYTQ,skipped_embed_system_error,
68,Petroleum World Stadistics,Looker Studio,Leonardo Garay Quintero,https://www.linkedin.com/in/lgarayq,https://datastudio.google.com/reporting/1JjVdbUZfrXwFgCYUVU6WG2x31JjLdsM6/page/5C5Y,,https://datastudio.google.com/reporting/1JjVdbUZfrXwFgCYUVU6WG2x31JjLdsM6/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,320000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:29:07,"Preliminary information about Average Year Oil Price by Reference (USD per Barrel), avergage year production and reserves in Oil/ BBL by country",https://datastudio.google.com/open/1JjVdbUZfrXwFgCYUVU6WG2x31JjLdsM6,skipped_embed_access_disabled,
70,Enhanced Ecommerce Dashboard,Looker Studio,Roneet Michael,https://in.linkedin.com/in/roneetm,https://datastudio.google.com/reporting/1PmKA057MCoLm33YePPCUY6Y0sAhJv8cy/page/yIHs,,https://datastudio.google.com/reporting/1PmKA057MCoLm33YePPCUY6Y0sAhJv8cy/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,300000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:29:32,"Ecommerce sales dashboard to analyse the sales from different sources such as, devices, sources, location etc to understand the audience behavior.",https://datastudio.google.com/open/1PmKA057MCoLm33YePPCUY6Y0sAhJv8cy,skipped_embed_system_error,
72,Landing Page Campaign and Keyword Breakdown,Looker Studio,Direct Online Marketing,http://directom.com/,https://datastudio.google.com/reporting/1k0wICBHF2cdaCc7AGZCvwyBs6tm7PUcE/page/8eij,,https://datastudio.google.com/reporting/1k0wICBHF2cdaCc7AGZCvwyBs6tm7PUcE/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,280000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:29:58,"Dive into your Google Ads performance by landing page, campaign, and keyword",https://datastudio.google.com/open/1k0wICBHF2cdaCc7AGZCvwyBs6tm7PUcE,skipped_embed_system_error,
73,Google Analytics - Audience - Best view on cell phone - TecDiSol.com-DS-0001 - Inpired by Datasaurus,Looker Studio,TecDiSol.com,https://www.tecdisol.com/,https://datastudio.google.com/reporting/1dngkoZbI54KOEDFB-W5vWPgN5qAN8_-Q/page/q7E,,https://datastudio.google.com/reporting/1dngkoZbI54KOEDFB-W5vWPgN5qAN8_-Q/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,270000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:30:11,A Simple Google Anaytics - only Audience data. Best view on cell phone,https://datastudio.google.com/open/1dngkoZbI54KOEDFB-W5vWPgN5qAN8_-Q,skipped_embed_system_error,
74,Website Analytics Sandbox (light),Looker Studio,ROInsights,http://www.roinsights.com/,https://datastudio.google.com/reporting/1QvyAsDF6tICxuE-JsHJTMnvuTAxP6Psx/page/bM6j,,https://datastudio.google.com/reporting/1QvyAsDF6tICxuE-JsHJTMnvuTAxP6Psx/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,260000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:30:23,"Focus on primary KPIs, spot and predict trends, apply filters, and explore!",https://datastudio.google.com/open/1QvyAsDF6tICxuE-JsHJTMnvuTAxP6Psx,skipped_embed_system_error,
78,Export Google Search Console Data by Day/Date,Looker Studio,Jonathan Jones,https://www.mrjonathanjones.com/2018/12/20/google-data-studio-alternative-report-to-google-search-console/,https://datastudio.google.com/reporting/1UES2hUhZdoNzqvn_LvjnwkFc42iya_xM/page/lCwd,,https://datastudio.google.com/reporting/1UES2hUhZdoNzqvn_LvjnwkFc42iya_xM/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,220000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:31:16,"The report allows you to view key metrics in Google Search Console, whilst allowing you to export data by day - a feature that has not been built for the new version of Google Search Console.",https://datastudio.google.com/open/1UES2hUhZdoNzqvn_LvjnwkFc42iya_xM,skipped_embed_access_disabled,
79,I Want to Believe,Looker Studio,Tessellation Consulting,http://www.tessellationtech.io/,,,https://datastudio.google.com/reporting/1HWH0xFoTRvMi8JonyeeqnOct9wua26j-/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,210000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:31:28,An analysis of UFO sightings in the United States,https://datastudio.google.com/open/1HWH0xFoTRvMi8JonyeeqnOct9wua26j-,skipped_missing_report,
80,Simple Google Analytics Overview,Looker Studio,Rene van Loock,https://marketingstratege.net/,https://datastudio.google.com/reporting/1601LqzG7S6QPRfKklWVHCM9hpQk95hXh/page/9gCf,,https://datastudio.google.com/reporting/1601LqzG7S6QPRfKklWVHCM9hpQk95hXh/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,200000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:31:34,Get an excellent view of the most important Google Analytics Data.,https://datastudio.google.com/open/1601LqzG7S6QPRfKklWVHCM9hpQk95hXh,skipped_embed_system_error,
82,Pumpkin Spice Economy by Starbucks,Looker Studio,Hexe Data,https://hexedata.com/,https://datastudio.google.com/reporting/19LAzcEIMFNVpPPL7AweypRanC8fjWqTR/page/pIpZ,,https://datastudio.google.com/reporting/19LAzcEIMFNVpPPL7AweypRanC8fjWqTR/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,180000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:32:00,How Pumpkin Spice Lattes fueled $500 million craze?,https://datastudio.google.com/open/19LAzcEIMFNVpPPL7AweypRanC8fjWqTR,skipped_embed_access_disabled,
84,Japanese Web report by rakuana 日本語Webレポート【ラクアナ】,Looker Studio,rakuana/ラクアナ,https://www.facebook.com/rakuana/,https://datastudio.google.com/reporting/1xeTZXSo_lot2wp1cmqo7QcAp6fG3vLp7/page/8yZT,,https://datastudio.google.com/reporting/1xeTZXSo_lot2wp1cmqo7QcAp6fG3vLp7/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,160000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:32:25,"Japanese basic site report by ""rakuana"" 実験メディア「ラクアナ」の日本語WEBレポートです。",https://datastudio.google.com/open/1xeTZXSo_lot2wp1cmqo7QcAp6fG3vLp7,skipped_embed_access_disabled,
86,Acquisition Trend Spotter,Looker Studio,Joshua Cottrell-Schloemer,https://www.linkedin.com/in/joshcottrell/,https://datastudio.google.com/reporting/1apr57Vpe3Jjj10QhJ2YS_QCpwYWkd93C/page/UrhH,,https://datastudio.google.com/reporting/1apr57Vpe3Jjj10QhJ2YS_QCpwYWkd93C/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,140000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:32:51,"A tool to easily spot and verify trends in a site's acquisition, behavior and conversions.",https://datastudio.google.com/open/1apr57Vpe3Jjj10QhJ2YS_QCpwYWkd93C,skipped_embed_system_error,
89,Google Analytics for Copywriters & Content Strategists,Looker Studio,WebAnalyticsSetup.com,https://webanalyticssetup.com/,https://datastudio.google.com/reporting/16UdnIMghaagyiM8sRi9ruopcHBnWcaia/page/L1Q,,https://datastudio.google.com/reporting/16UdnIMghaagyiM8sRi9ruopcHBnWcaia/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,110000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:33:28,"Web content performance – landing pages, sources, events and audience. Overview + details + filters.",https://datastudio.google.com/open/16UdnIMghaagyiM8sRi9ruopcHBnWcaia,skipped_embed_access_disabled,
92,Goal Competions by Channel,Looker Studio,CALLOSUM INC.,https://callosum.co.jp/,https://datastudio.google.com/reporting/1k9lrnI0FG4_dMKHk2i_E3exzK67EJnRw/page/Iw7P,,https://datastudio.google.com/reporting/1k9lrnI0FG4_dMKHk2i_E3exzK67EJnRw/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,80000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:34:07,Multiple windows for monitoring all channels,https://datastudio.google.com/open/1k9lrnI0FG4_dMKHk2i_E3exzK67EJnRw,skipped_embed_access_disabled,
93,Chrome Device Auto Update Expiration,Looker Studio,Amplified Labs,https://labs.amplifiedit.com/,https://datastudio.google.com/reporting/1EhVByJHuiQV1WMlUcKtWu_wELQgZapVY/page/FE4P,,https://datastudio.google.com/reporting/1EhVByJHuiQV1WMlUcKtWu_wELQgZapVY/thumbnail?sz=w320-h240-p-k-nu,,Community,curated,unverified,review,70000,https://datastudio.google.com/gallery?category=community,Community,2026-08-11T11:34:19,Connect to the Chrome Gopher Add-on for Sheets to build your own Chromebook reporting dashboards. Requires the Chrome Gopher Add-on for Google Sheets. https://labs.amplifiedit.com/chrome-gopher.,https://datastudio.google.com/open/1EhVByJHuiQV1WMlUcKtWu_wELQgZapVY,skipped_embed_access_disabled,
